cluster_id,size,cohesion_mean,cohesion_min,separation,nearest_cluster,persistence
-1,447,,,,,
2,362,0.8145,0.2609,0.2692,18.0,0.0223
0,344,0.7106,0.4827,0.2676,72.0,0.0184
12,221,0.8276,0.4927,0.1253,112.0,0.009
6,107,0.8052,0.4287,0.2125,46.0,0.0263
47,106,0.8103,0.495,0.1114,46.0,0.0107
5,92,0.8343,0.5072,0.1491,34.0,0.0301
23,80,0.8157,0.6132,0.1195,22.0,0.021
35,74,0.8247,0.5554,0.1935,45.0,0.0353
46,69,0.8096,0.5732,0.1114,47.0,0.0156
73,68,0.8269,0.6827,0.125,66.0,0.0144
3,61,0.818,0.4449,0.2039,23.0,0.0596
92,54,0.8117,0.6514,0.1088,97.0,0.0056
45,50,0.8551,0.608,0.1043,102.0,0.0261
38,41,0.7746,0.6501,0.1243,39.0,0.0273
85,38,0.8289,0.6997,0.1116,65.0,0.0103
79,38,0.8649,0.7708,0.0983,65.0,0.0172
27,36,0.7693,0.5153,0.224,38.0,0.0984
32,34,0.8859,0.7851,0.1114,31.0,0.0737
28,32,0.8752,0.7764,0.0805,36.0,0.0679
29,29,0.8722,0.7607,0.0867,30.0,0.0323
1,28,0.8095,0.6685,0.2279,67.0,0.1003
64,28,0.8135,0.6309,0.1139,63.0,0.0288
26,27,0.8503,0.7379,0.1369,31.0,0.0467
44,25,0.8821,0.7913,0.125,43.0,0.0423
16,24,0.8904,0.8254,0.1105,28.0,0.1827
50,24,0.8263,0.7035,0.2156,63.0,0.1206
90,23,0.8602,0.7336,0.1014,91.0,0.0723
9,23,0.9048,0.7821,0.1656,12.0,0.2755
59,22,0.8338,0.7516,0.1684,62.0,0.0249
98,22,0.8975,0.7998,0.0753,86.0,0.0253
109,21,0.9071,0.7887,0.0506,99.0,0.0061
112,21,0.8918,0.8049,0.0578,111.0,0.0214
15,20,0.7474,0.6016,0.2695,14.0,0.0678
97,20,0.8555,0.757,0.0719,103.0,0.0178
39,20,0.7695,0.6564,0.1243,38.0,0.0038
4,20,0.8704,0.7661,0.1578,28.0,0.0844
91,18,0.8515,0.7654,0.1014,90.0,0.0164
43,18,0.8502,0.7334,0.125,44.0,0.0801
24,18,0.8225,0.5762,0.1843,45.0,0.0698
81,18,0.8909,0.7509,0.0699,80.0,0.0279
53,17,0.8289,0.6583,0.1122,54.0,0.0128
57,17,0.798,0.691,0.1433,55.0,0.0156
37,17,0.8661,0.7609,0.0694,36.0,0.0649
103,17,0.8732,0.7517,0.071,111.0,0.0052
13,17,0.8424,0.6921,0.191,24.0,0.2136
93,16,0.9078,0.8252,0.0604,96.0,0.0125
56,15,0.8306,0.701,0.1055,70.0,0.0197
104,15,0.8907,0.851,0.0822,109.0,0.0103
70,15,0.857,0.7789,0.1055,56.0,0.0035
110,15,0.8686,0.7399,0.0954,109.0,0.0183
107,14,0.9024,0.8719,0.0721,103.0,0.0057
19,14,0.8518,0.6975,0.198,42.0,0.2435
55,14,0.789,0.6784,0.1355,53.0,0.0125
34,14,0.93,0.9005,0.0992,33.0,0.0657
61,13,0.8539,0.7765,0.157,64.0,0.0534
89,13,0.8804,0.8236,0.1437,97.0,0.0981
75,13,0.8965,0.7854,0.078,76.0,0.0273
