cluster_id,size,cohesion_mean,cohesion_min,separation,nearest_cluster,persistence,origem,lote
217,34,0.8225,0.6482,0.0519,97.0,0.2051,1,
21,33,0.8637,0.7016,0.0903,47.0,0.0005,0,
260,32,0.8194,0.6611,0.0584,193.0,0.2339,1,
24,32,0.8816,0.778,0.0366,229.0,0.0005,0,
28,31,0.7917,0.6266,0.1521,276.0,0.0012,0,
64,30,0.8024,0.6822,0.1003,65.0,0.0001,0,
179,30,0.8787,0.6226,0.0724,170.0,0.0004,0,
262,29,0.8391,0.6537,0.063,89.0,0.0954,1,
178,29,0.9083,0.8063,0.0184,257.0,0.0001,0,
208,29,0.8738,0.7477,0.057,283.0,0.0001,0,
279,28,0.9073,0.8077,0.0316,307.0,0.0602,1,
77,28,0.849,0.7235,0.0811,67.0,0.0003,0,
94,28,0.8485,0.6635,0.0918,234.0,0.0005,0,
110,26,0.8143,0.6398,0.1297,106.0,0.0004,0,
42,25,0.8451,0.672,0.1513,249.0,0.0008,0,
140,25,0.863,0.7245,0.0971,242.0,0.0005,0,
281,25,0.8226,0.6969,0.0933,166.0,0.0917,1,
9,24,0.8904,0.8254,0.1249,249.0,0.0026,0,
80,24,0.8657,0.7639,0.0939,79.0,0.0006,0,
242,24,0.7901,0.6458,0.0971,140.0,0.1102,1,
84,24,0.823,0.6266,0.2106,106.0,0.0017,0,
147,24,0.82,0.7468,0.0677,168.0,0.0003,0,
210,23,0.8917,0.8466,0.0405,317.0,0.0002,0,
54,22,0.8979,0.8307,0.0567,53.0,0.001,0,
295,22,0.788,0.5659,0.0617,263.0,0.3042,2,
142,22,0.8554,0.7556,0.1049,299.0,0.0003,0,
37,22,0.8374,0.6882,0.1811,36.0,0.0015,0,
215,21,0.8969,0.797,0.0586,214.0,0.0002,0,
171,21,0.8337,0.6819,0.0429,271.0,0.0002,0,
168,21,0.8128,0.665,0.0677,147.0,0.0001,0,
102,20,0.7837,0.6908,0.0986,252.0,0.0004,0,
112,19,0.8649,0.7209,0.05,263.0,0.0003,0,
51,19,0.8439,0.7276,0.0872,222.0,0.0006,0,
33,19,0.8196,0.7309,0.1451,73.0,0.0005,0,
162,19,0.9079,0.8362,0.0259,307.0,0.0,0,
166,18,0.8972,0.7887,0.0865,157.0,0.0004,0,
271,18,0.8162,0.6941,0.0429,171.0,0.0626,1,
164,18,0.912,0.8263,0.0421,304.0,0.0002,0,
249,18,0.818,0.5409,0.0521,62.0,0.394,1,
144,18,0.8725,0.8012,0.0654,244.0,0.0001,0,
312,18,0.8325,0.6748,0.0868,307.0,0.0711,2,
65,18,0.7822,0.6842,0.1003,64.0,0.0001,0,
69,18,0.7977,0.6855,0.1019,288.0,0.0004,0,
2,18,0.8315,0.7393,0.1847,1.0,0.0027,0,
23,18,0.8225,0.5762,0.1601,109.0,0.0013,0,
46,17,0.8156,0.6846,0.1692,45.0,0.0011,0,
174,17,0.8379,0.7054,0.0743,260.0,0.0004,0,
128,17,0.8937,0.8421,0.1028,202.0,0.0004,0,
7,17,0.912,0.7877,0.0353,6.0,0.0024,0,
8,17,0.8424,0.6921,0.191,23.0,0.0108,0,
41,17,0.8963,0.8615,0.0948,226.0,0.0007,0,
201,16,0.9103,0.8232,0.0368,200.0,0.0004,0,
317,16,0.8011,0.6516,0.0405,210.0,0.1583,3,
172,16,0.9131,0.8509,0.0434,301.0,0.0002,0,
72,16,0.8846,0.8369,0.0361,290.0,0.0002,0,
139,16,0.907,0.8341,0.0547,228.0,0.0005,0,
239,16,0.8283,0.7237,0.0924,314.0,0.0547,1,
75,16,0.8301,0.7024,0.1317,85.0,0.0003,0,
13,16,0.7649,0.6254,0.2012,224.0,0.0011,0,
284,16,0.8854,0.8289,0.0438,212.0,0.0718,1,
298,15,0.7739,0.6111,0.0749,273.0,0.0886,2,
222,15,0.8428,0.7948,0.0568,74.0,0.2667,1,
203,15,0.8364,0.6599,0.0711,308.0,0.0002,0,
187,15,0.8991,0.8493,0.0347,186.0,0.0001,0,
307,15,0.8611,0.7749,0.0259,162.0,0.0546,2,
100,15,0.8759,0.6855,0.0986,153.0,0.0004,0,
123,14,0.9026,0.7818,0.0498,131.0,0.0003,0,
99,14,0.8717,0.7528,0.0958,94.0,0.0002,0,
167,14,0.8217,0.695,0.0867,298.0,0.0,0,
158,14,0.8653,0.3467,0.0557,155.0,0.0002,0,
259,14,0.8899,0.716,0.0352,183.0,0.056,1,
280,14,0.8254,0.716,0.0866,198.0,0.0514,1,
293,14,0.8303,0.6413,0.0956,67.0,0.4527,2,
