cluster_id,size,cohesion_mean,cohesion_min,separation,nearest_cluster,persistence,origem
2,362,0.8145,0.2609,0.2692,18.0,0.0223,0
0,344,0.7106,0.4827,0.2578,117.0,0.0184,0
12,221,0.8276,0.4927,0.1253,112.0,0.009,0
6,107,0.8052,0.4287,0.1523,136.0,0.0263,0
47,106,0.8103,0.495,0.1114,46.0,0.0107,0
5,92,0.8343,0.5072,0.1321,121.0,0.0301,0
23,80,0.8157,0.6132,0.1195,22.0,0.021,0
35,74,0.8247,0.5554,0.1407,121.0,0.0353,0
46,69,0.8096,0.5732,0.0912,136.0,0.0156,0
73,68,0.8269,0.6827,0.0897,118.0,0.0144,0
118,64,0.7699,0.5512,0.0694,66.0,0.0981,1
3,61,0.818,0.4449,0.2039,23.0,0.0596,0
133,56,0.8393,0.6467,0.0317,107.0,0.0349,1
92,54,0.8117,0.6514,0.0531,134.0,0.0056,0
45,50,0.8551,0.608,0.1011,121.0,0.0261,0
134,44,0.7437,0.5539,0.0531,92.0,0.3706,2
38,41,0.7746,0.6501,0.1243,39.0,0.0273,0
85,38,0.8289,0.6997,0.0271,114.0,0.0103,0
79,38,0.8649,0.7708,0.0983,65.0,0.0172,0
27,36,0.7693,0.5153,0.224,38.0,0.0984,0
114,35,0.7704,0.5677,0.0271,85.0,0.1266,1
32,34,0.8859,0.7851,0.1114,31.0,0.0737,0
126,33,0.7795,0.6092,0.082,31.0,0.0854,1
28,32,0.8752,0.7764,0.0805,36.0,0.0679,0
29,29,0.8722,0.7607,0.0859,125.0,0.0323,0
64,28,0.8135,0.6309,0.1139,63.0,0.0288,0
1,28,0.8095,0.6685,0.219,117.0,0.1003,0
26,27,0.8503,0.7379,0.1268,126.0,0.0467,0
44,25,0.8821,0.7913,0.0725,128.0,0.0423,0
50,24,0.8263,0.7035,0.2156,63.0,0.1206,0
16,24,0.8904,0.8254,0.1105,28.0,0.1827,0
9,23,0.9048,0.7821,0.1656,12.0,0.2755,0
90,23,0.8602,0.7336,0.1014,91.0,0.0723,0
127,23,0.8744,0.7064,0.0199,93.0,0.0653,1
59,22,0.8338,0.7516,0.1327,113.0,0.0249,0
98,22,0.8975,0.7998,0.0522,127.0,0.0253,0
112,21,0.8918,0.8049,0.0578,111.0,0.0214,0
109,21,0.9071,0.7887,0.0506,99.0,0.0061,0
15,20,0.7474,0.6016,0.1652,135.0,0.0678,0
97,20,0.8555,0.757,0.0719,103.0,0.0178,0
4,20,0.8704,0.7661,0.1578,28.0,0.0844,0
39,20,0.7695,0.6564,0.1243,38.0,0.0038,0
136,20,0.7749,0.616,0.0485,127.0,0.2807,2
128,18,0.7837,0.6608,0.0725,44.0,0.195,1
91,18,0.8515,0.7654,0.0915,114.0,0.0164,0
