cluster_id,size,cohesion_mean,cohesion_min,separation,nearest_cluster,persistence
-1,1045,,,,,
21,33,0.8637,0.7016,0.0903,47.0,0.0005
24,32,0.8816,0.778,0.1207,25.0,0.0005
28,31,0.7917,0.6266,0.1842,95.0,0.0012
64,30,0.8024,0.6822,0.1003,65.0,0.0001
179,30,0.8787,0.6226,0.0724,170.0,0.0004
178,29,0.9083,0.8063,0.0522,141.0,0.0001
208,29,0.8738,0.7477,0.0708,215.0,0.0001
77,28,0.849,0.7235,0.0811,67.0,0.0003
94,28,0.8485,0.6635,0.0958,99.0,0.0005
110,26,0.8143,0.6398,0.1297,106.0,0.0004
42,25,0.8451,0.672,0.1586,50.0,0.0008
140,25,0.863,0.7245,0.1065,142.0,0.0005
9,24,0.8904,0.8254,0.1256,47.0,0.0026
84,24,0.823,0.6266,0.2106,106.0,0.0017
80,24,0.8657,0.7639,0.0939,79.0,0.0006
147,24,0.82,0.7468,0.0677,168.0,0.0003
210,23,0.8917,0.8466,0.0574,209.0,0.0002
142,22,0.8554,0.7556,0.1065,140.0,0.0003
37,22,0.8374,0.6882,0.1811,36.0,0.0015
54,22,0.8979,0.8307,0.0567,53.0,0.001
171,21,0.8337,0.6819,0.0713,189.0,0.0002
215,21,0.8969,0.797,0.0586,214.0,0.0002
168,21,0.8128,0.665,0.0677,147.0,0.0001
102,20,0.7837,0.6908,0.1667,101.0,0.0004
51,19,0.8439,0.7276,0.1384,74.0,0.0006
33,19,0.8196,0.7309,0.1451,73.0,0.0005
112,19,0.8649,0.7209,0.0953,111.0,0.0003
162,19,0.9079,0.8362,0.0534,161.0,0.0
23,18,0.8225,0.5762,0.1601,109.0,0.0013
144,18,0.8725,0.8012,0.096,152.0,0.0001
166,18,0.8972,0.7887,0.0865,157.0,0.0004
2,18,0.8315,0.7393,0.1847,1.0,0.0027
65,18,0.7822,0.6842,0.1003,64.0,0.0001
69,18,0.7977,0.6855,0.1463,124.0,0.0004
164,18,0.912,0.8263,0.0492,163.0,0.0002
7,17,0.912,0.7877,0.0353,6.0,0.0024
8,17,0.8424,0.6921,0.191,23.0,0.0108
174,17,0.8379,0.7054,0.1186,192.0,0.0004
46,17,0.8156,0.6846,0.1692,45.0,0.0011
41,17,0.8963,0.8615,0.1265,60.0,0.0007
128,17,0.8937,0.8421,0.1028,202.0,0.0004
13,16,0.7649,0.6254,0.2788,12.0,0.0011
172,16,0.9131,0.8509,0.058,186.0,0.0002
201,16,0.9103,0.8232,0.0368,200.0,0.0004
139,16,0.907,0.8341,0.0575,138.0,0.0005
72,16,0.8846,0.8369,0.0942,82.0,0.0002
75,16,0.8301,0.7024,0.1317,85.0,0.0003
203,15,0.8364,0.6599,0.1048,204.0,0.0002
100,15,0.8759,0.6855,0.0986,153.0,0.0004
187,15,0.8991,0.8493,0.0347,186.0,0.0001
211,14,0.8907,0.8015,0.0505,206.0,0.0
196,14,0.881,0.8023,0.0793,211.0,0.0004
11,14,0.8518,0.6975,0.1554,33.0,0.0026
191,14,0.7974,0.4477,0.1039,182.0,0.0001
189,14,0.8508,0.7417,0.0713,171.0,0.0001
167,14,0.8217,0.695,0.1113,171.0,0.0
123,14,0.9026,0.7818,0.0498,131.0,0.0003
38,14,0.8429,0.7156,0.0982,35.0,0.0006
39,14,0.883,0.8228,0.0854,59.0,0.0007
99,14,0.8717,0.7528,0.0958,94.0,0.0002
158,14,0.8653,0.3467,0.0557,155.0,0.0002
57,13,0.9142,0.8623,0.0947,58.0,0.0022
117,13,0.8539,0.7765,0.157,110.0,0.0005
182,13,0.8658,0.7285,0.0557,141.0,0.0
53,13,0.8877,0.8033,0.0567,54.0,0.0003
87,13,0.8641,0.7772,0.1012,64.0,0.0002
90,13,0.8172,0.7182,0.1523,167.0,0.0002
213,13,0.8375,0.7322,0.1252,215.0,0.0008
44,13,0.8591,0.7768,0.1187,43.0,0.0007
82,13,0.9154,0.8542,0.0757,81.0,0.0002
132,13,0.855,0.684,0.1245,166.0,0.0006
120,13,0.8157,0.6956,0.1169,181.0,0.0002
193,12,0.8727,0.7803,0.0679,192.0,0.0001
185,12,0.8568,0.7549,0.1034,188.0,0.0001
188,12,0.846,0.7707,0.0799,189.0,0.0004
50,12,0.8766,0.8308,0.0928,89.0,0.0001
160,12,0.903,0.8422,0.071,159.0,0.0002
116,12,0.8373,0.7537,0.1171,173.0,0.0002
115,12,0.8657,0.716,0.1165,128.0,0.001
113,12,0.8835,0.827,0.1483,196.0,0.001
58,12,0.9341,0.9098,0.0947,57.0,0.001
141,12,0.9052,0.8546,0.0522,178.0,0.0002
183,12,0.9138,0.8398,0.0621,163.0,0.0002
107,12,0.877,0.8258,0.1291,122.0,0.0003
27,12,0.8507,0.7166,0.1949,56.0,0.0007
159,11,0.8926,0.7801,0.071,160.0,0.0001
56,11,0.8861,0.8151,0.0626,55.0,0.0003
169,11,0.922,0.8723,0.0463,187.0,0.0001
92,11,0.829,0.6787,0.1638,44.0,0.0004
10,11,0.8782,0.7644,0.1662,202.0,0.0014
184,11,0.8801,0.8181,0.085,183.0,0.0001
118,11,0.9071,0.7987,0.059,135.0,0.0001
26,11,0.8589,0.7776,0.1239,72.0,0.0002
79,10,0.8861,0.8385,0.0715,67.0,0.0003
83,10,0.8739,0.767,0.127,119.0,0.0004
108,10,0.8793,0.8153,0.1402,109.0,0.0003
181,10,0.882,0.7915,0.0766,180.0,0.0001
1,10,0.874,0.8,0.1847,2.0,0.0016
190,10,0.8543,0.7837,0.121,191.0,0.0001
204,10,0.8548,0.7339,0.104,205.0,0.0002
143,10,0.8415,0.7156,0.1585,208.0,0.0002
173,10,0.879,0.8395,0.0507,192.0,0.0001
25,10,0.8768,0.8321,0.1207,24.0,0.0005
70,10,0.8179,0.7779,0.2264,32.0,0.0001
135,10,0.9103,0.8866,0.059,118.0,0.0
89,10,0.8829,0.7871,0.0928,50.0,0.0002
81,10,0.8936,0.7957,0.0757,82.0,0.0001
111,9,0.9041,0.8556,0.0953,112.0,0.0001
122,9,0.8933,0.8255,0.0665,121.0,0.0005
16,9,0.9261,0.8983,0.09,17.0,0.0015
129,9,0.869,0.8158,0.1222,144.0,0.0
146,9,0.909,0.8773,0.0544,145.0,0.0001
18,9,0.8121,0.7656,0.3195,51.0,0.0045
85,9,0.8786,0.8362,0.0982,32.0,0.0001
103,9,0.8539,0.7428,0.2588,85.0,0.0027
163,9,0.8906,0.8015,0.0492,164.0,0.0001
104,9,0.9195,0.8716,0.0985,112.0,0.0002
156,8,0.918,0.8817,0.0533,178.0,0.0001
20,8,0.8902,0.863,0.1349,59.0,0.0007
74,8,0.9364,0.8684,0.0378,73.0,0.0003
22,8,0.877,0.7972,0.1535,73.0,0.0006
186,8,0.8868,0.8262,0.0347,187.0,0.0001
97,8,0.8856,0.848,0.0683,96.0,0.0
148,8,0.7984,0.6861,0.1961,147.0,0.0005
29,8,0.854,0.8158,0.1688,80.0,0.0003
30,8,0.841,0.798,0.2216,28.0,0.0005
106,8,0.8456,0.7898,0.1297,110.0,0.0002
62,8,0.86,0.5951,0.0562,47.0,0.0
119,8,0.9096,0.8734,0.0759,163.0,0.0002
71,8,0.8826,0.8368,0.102,97.0,0.0011
68,8,0.8779,0.8418,0.1289,149.0,0.0002
12,8,0.8088,0.6936,0.2788,13.0,0.0002
130,8,0.9354,0.9229,0.053,131.0,0.0014
3,8,0.8067,0.7269,0.1995,25.0,0.0011
93,8,0.8201,0.6747,0.1712,124.0,0.0004
14,7,0.8623,0.8235,0.1405,26.0,0.0001
198,7,0.8375,0.6992,0.0948,197.0,0.0001
151,7,0.9084,0.8638,0.088,194.0,0.0001
206,7,0.8819,0.7951,0.0505,211.0,0.0001
202,7,0.9147,0.8947,0.0768,212.0,0.0002
4,7,0.8861,0.8185,0.2309,5.0,0.0052
36,7,0.8346,0.7039,0.1755,40.0,0.0005
176,7,0.9016,0.8764,0.1164,188.0,0.0003
134,7,0.9155,0.8581,0.0577,133.0,0.0002
60,7,0.9187,0.9095,0.092,35.0,0.0004
47,7,0.9172,0.8243,0.0562,62.0,0.0003
48,7,0.9222,0.8875,0.1053,159.0,0.0001
35,7,0.8778,0.8512,0.088,59.0,0.0001
124,7,0.818,0.7315,0.1463,69.0,0.0004
127,7,0.843,0.7333,0.1228,128.0,0.0
109,7,0.9047,0.865,0.0833,123.0,0.0001
180,7,0.8924,0.8486,0.0766,181.0,0.0001
86,7,0.8612,0.8129,0.1181,85.0,0.0001
76,7,0.8778,0.8129,0.1687,75.0,0.0006
52,7,0.8473,0.6586,0.1351,203.0,0.0002
157,7,0.8974,0.8186,0.0865,166.0,0.0002
149,7,0.914,0.867,0.0757,195.0,0.0
214,7,0.9357,0.9127,0.0586,215.0,0.0001
0,7,0.9241,0.8423,0.3312,5.0,0.9258
192,7,0.8846,0.7867,0.0507,173.0,0.0001
5,6,0.9118,0.8614,0.23,17.0,0.0032
6,6,0.9082,0.8423,0.0353,7.0,0.0012
209,6,0.9065,0.8488,0.0574,210.0,0.0
15,6,0.8656,0.7894,0.1994,14.0,0.0007
55,6,0.894,0.8616,0.0626,56.0,0.0
154,6,0.8427,0.7625,0.1591,116.0,0.0001
153,6,0.9315,0.9187,0.088,152.0,0.0
150,6,0.8745,0.8233,0.1382,171.0,0.0001
131,6,0.9204,0.8877,0.0498,123.0,0.0
34,6,0.8539,0.8309,0.1051,56.0,0.0004
45,6,0.8374,0.8088,0.1692,46.0,0.0001
63,6,0.8667,0.8223,0.1973,75.0,0.0005
61,6,0.8916,0.8635,0.0784,62.0,0.0002
137,6,0.9157,0.8984,0.1136,144.0,0.0003
91,6,0.9359,0.9075,0.0754,156.0,0.0002
95,6,0.8473,0.7894,0.1035,171.0,0.0001
199,6,0.9149,0.8816,0.061,186.0,0.0001
195,6,0.9326,0.9014,0.0432,194.0,0.0004
126,6,0.847,0.8193,0.1363,125.0,0.0
177,6,0.9071,0.8528,0.0751,182.0,0.0
170,6,0.9313,0.895,0.0724,179.0,0.0
40,6,0.7664,0.6771,0.1755,36.0,0.0001
59,6,0.8966,0.8076,0.0854,39.0,0.0
133,6,0.8994,0.8282,0.0577,134.0,0.0002
73,6,0.9256,0.8637,0.0378,74.0,0.0
101,6,0.8575,0.7832,0.1454,88.0,0.0001
17,6,0.9315,0.8865,0.0811,82.0,0.0001
19,6,0.8848,0.8297,0.1045,182.0,0.0003
98,6,0.8312,0.7102,0.1521,99.0,0.0
88,6,0.8555,0.804,0.1454,101.0,0.0001
161,5,0.9455,0.924,0.0534,162.0,0.0001
165,5,0.9061,0.8418,0.1048,166.0,0.0
205,5,0.9028,0.8838,0.104,204.0,0.0
212,5,0.9267,0.91,0.0731,211.0,0.0
138,5,0.9478,0.9368,0.0575,139.0,0.0
49,5,0.8713,0.793,0.1434,48.0,0.0001
43,5,0.8878,0.8306,0.1187,44.0,0.0003
152,5,0.9004,0.8676,0.088,153.0,0.0
155,5,0.933,0.9222,0.0553,169.0,0.0
145,5,0.9342,0.905,0.0544,146.0,0.0
78,5,0.9029,0.8913,0.1141,77.0,0.0001
32,5,0.8902,0.8607,0.0982,85.0,0.0001
31,5,0.8915,0.8601,0.138,157.0,0.0
114,5,0.8916,0.8591,0.2074,174.0,0.0
66,5,0.8991,0.7812,0.3776,89.0,0.0003
67,5,0.931,0.911,0.0715,79.0,0.0001
121,5,0.9088,0.8655,0.0665,122.0,0.0001
125,5,0.8739,0.8519,0.1363,126.0,0.0001
175,5,0.8375,0.7735,0.2552,176.0,0.0
136,5,0.9056,0.8802,0.0725,135.0,0.0
105,5,0.8465,0.8038,0.1591,110.0,0.0
96,5,0.9335,0.903,0.0683,97.0,0.0
194,5,0.9572,0.9503,0.0432,195.0,0.0001
197,5,0.8405,0.7528,0.0948,198.0,0.0
200,5,0.9318,0.9054,0.0368,201.0,0.0001
207,5,0.9274,0.9177,0.1532,202.0,0.0003
