cluster_id,size,cohesion_mean,cohesion_min,separation,nearest_cluster,persistence
-1,1228,,,,,
14,76,0.8217,0.5546,0.1763,20.0,0.124
2,61,0.818,0.4449,0.1831,40.0,0.2287
3,61,0.8266,0.6162,0.1579,57.0,0.1288
73,60,0.8041,0.5107,0.0596,80.0,0.0289
65,50,0.787,0.5946,0.0967,79.0,0.0257
92,49,0.8734,0.7122,0.0534,91.0,0.0281
59,47,0.8708,0.7716,0.0813,53.0,0.0468
18,46,0.8684,0.6672,0.1561,23.0,0.0993
33,46,0.7731,0.6491,0.1833,32.0,0.0879
52,43,0.8661,0.7529,0.1491,51.0,0.0867
104,41,0.8202,0.6865,0.1222,105.0,0.033
87,39,0.8886,0.7912,0.0736,88.0,0.0691
106,38,0.8812,0.7947,0.0932,111.0,0.0317
85,38,0.8326,0.6737,0.1309,83.0,0.0346
15,36,0.7701,0.6902,0.2228,16.0,0.0818
30,35,0.771,0.5197,0.2172,33.0,0.1445
40,33,0.8423,0.714,0.0865,39.0,0.0345
50,32,0.7944,0.7028,0.1271,77.0,0.0263
13,31,0.8685,0.7021,0.1033,29.0,0.1075
64,30,0.811,0.6104,0.1604,67.0,0.037
98,30,0.8474,0.7378,0.1288,99.0,0.054
1,29,0.725,0.5649,0.3611,8.0,0.2499
69,29,0.8876,0.7029,0.0567,96.0,0.1436
0,28,0.8095,0.6685,0.2324,51.0,0.2388
16,28,0.7936,0.6267,0.1476,43.0,0.0755
25,26,0.8713,0.7575,0.0839,24.0,0.0586
48,26,0.8837,0.7662,0.0754,101.0,0.0104
23,25,0.8599,0.7388,0.1561,18.0,0.0922
83,25,0.8562,0.7242,0.1015,84.0,0.1806
44,25,0.8304,0.6957,0.095,66.0,0.0268
35,24,0.8787,0.7163,0.1266,34.0,0.0797
7,24,0.8904,0.8254,0.1322,29.0,0.2006
37,24,0.8774,0.7676,0.0908,39.0,0.1145
47,23,0.8275,0.7085,0.2598,64.0,0.3505
5,23,0.9048,0.7821,0.1483,48.0,0.4597
24,23,0.89,0.7623,0.0839,25.0,0.0799
21,23,0.8423,0.6603,0.1024,36.0,0.0818
62,22,0.8597,0.7786,0.0998,63.0,0.0737
11,22,0.8606,0.7701,0.1567,19.0,0.211
80,20,0.8364,0.6735,0.0596,73.0,0.0193
34,20,0.8408,0.7175,0.1266,35.0,0.1301
4,20,0.8055,0.7277,0.2806,17.0,0.1304
