cluster_id,size,cohesion_mean,cohesion_min,separation,nearest_cluster,persistence,origem
14,76,0.8217,0.5546,0.119,190.0,0.124,0
2,61,0.818,0.4449,0.1804,164.0,0.2287,0
3,61,0.8266,0.6162,0.1579,57.0,0.1288,0
73,60,0.8041,0.5107,0.0523,124.0,0.0289,0
65,50,0.787,0.5946,0.0755,170.0,0.0257,0
92,49,0.8734,0.7122,0.0484,139.0,0.0281,0
59,47,0.8708,0.7716,0.0813,53.0,0.0468,0
33,46,0.7731,0.6491,0.1352,130.0,0.0879,0
18,46,0.8684,0.6672,0.1561,23.0,0.0993,0
52,43,0.8661,0.7529,0.1172,185.0,0.0867,0
104,41,0.8202,0.6865,0.0801,156.0,0.033,0
87,39,0.8886,0.7912,0.0229,122.0,0.0691,0
106,38,0.8812,0.7947,0.0749,151.0,0.0317,0
85,38,0.8326,0.6737,0.0547,153.0,0.0346,0
174,38,0.819,0.7062,0.0435,105.0,0.1727,2
15,36,0.7701,0.6902,0.1497,123.0,0.0818,0
30,35,0.771,0.5197,0.2172,33.0,0.1445,0
153,33,0.7989,0.7129,0.0547,85.0,0.177,1
124,33,0.7713,0.419,0.0311,80.0,0.0882,1
40,33,0.8423,0.714,0.0865,39.0,0.0345,0
50,32,0.7944,0.7028,0.1271,77.0,0.0263,0
13,31,0.8685,0.7021,0.1033,29.0,0.1075,0
183,31,0.7287,0.6125,0.133,148.0,0.22,3
64,30,0.811,0.6104,0.1158,149.0,0.037,0
173,30,0.798,0.6265,0.0779,162.0,0.0825,2
98,30,0.8474,0.7378,0.0691,161.0,0.054,0
158,29,0.9012,0.7743,0.0191,101.0,0.0876,1
69,29,0.8876,0.7029,0.0567,96.0,0.1436,0
177,29,0.812,0.6523,0.0453,152.0,0.0913,2
1,29,0.725,0.5649,0.3069,188.0,0.2499,0
0,28,0.8095,0.6685,0.2324,51.0,0.2388,0
112,28,0.789,0.4992,0.0693,39.0,0.3824,1
16,28,0.7936,0.6267,0.1082,123.0,0.0755,0
171,27,0.7837,0.575,0.0795,156.0,0.1522,2
25,26,0.8713,0.7575,0.0537,118.0,0.0586,0
48,26,0.8837,0.7662,0.067,180.0,0.0104,0
83,25,0.8562,0.7242,0.1015,84.0,0.1806,0
23,25,0.8599,0.7388,0.1302,130.0,0.0922,0
44,25,0.8304,0.6957,0.0894,121.0,0.0268,0
130,25,0.784,0.6179,0.1283,190.0,0.1858,1
155,25,0.8843,0.7818,0.045,111.0,0.067,1
182,25,0.7857,0.3293,0.0384,165.0,0.7076,3
-1,24,,,,,,-1
35,24,0.8787,0.7163,0.0502,160.0,0.0797,0
7,24,0.8904,0.8254,0.0934,115.0,0.2006,0
37,24,0.8774,0.7676,0.0884,112.0,0.1145,0
21,23,0.8423,0.6603,0.051,164.0,0.0818,0
24,23,0.89,0.7623,0.0584,118.0,0.0799,0
47,23,0.8275,0.7085,0.2062,173.0,0.3505,0
5,23,0.9048,0.7821,0.1483,48.0,0.4597,0
185,22,0.8102,0.6273,0.0597,158.0,0.2317,3
62,22,0.8597,0.7786,0.0751,147.0,0.0737,0
188,22,0.7303,0.5355,0.1123,153.0,0.0977,4
121,22,0.8463,0.6309,0.0673,168.0,0.0981,1
138,22,0.8645,0.6717,0.0823,94.0,0.3466,1
11,22,0.8606,0.7701,0.1567,19.0,0.211,0
151,21,0.8866,0.7718,0.0419,111.0,0.1718,1
34,20,0.8408,0.7175,0.1266,35.0,0.1301,0
80,20,0.8364,0.6735,0.0311,124.0,0.0193,0
165,20,0.8791,0.6944,0.0316,60.0,0.1142,2
4,20,0.8055,0.7277,0.2806,17.0,0.1304,0
114,20,0.7547,0.6531,0.1595,65.0,0.1614,1
156,19,0.8612,0.7973,0.0648,109.0,0.0715,1
78,18,0.8275,0.7288,0.0881,77.0,0.0105,0
91,18,0.9035,0.7724,0.0534,92.0,0.029,0
101,18,0.9182,0.8144,0.0191,158.0,0.0133,0
107,18,0.8872,0.8212,0.0601,174.0,0.0117,0
12,18,0.8225,0.5762,0.1484,171.0,0.1902,0
60,18,0.9007,0.7953,0.0316,165.0,0.0193,0
144,17,0.864,0.7316,0.0831,27.0,0.2163,1
17,17,0.9,0.7712,0.0683,118.0,0.0446,0
110,17,0.8932,0.8007,0.0576,111.0,0.018,0
166,17,0.8467,0.7548,0.0594,89.0,0.1875,2
115,17,0.8523,0.7553,0.0587,29.0,0.5707,1
122,17,0.9031,0.8245,0.0229,87.0,0.1498,1
6,17,0.8424,0.6921,0.191,12.0,0.6047,0
84,17,0.8533,0.7629,0.0737,153.0,0.0212,0
132,17,0.8947,0.8182,0.0442,60.0,0.0632,1
74,17,0.8771,0.7093,0.0769,174.0,0.0543,0
66,17,0.8754,0.7292,0.0477,60.0,0.0248,0
71,17,0.8349,0.6473,0.1432,120.0,0.0598,0
39,16,0.8826,0.8212,0.0693,112.0,0.0065,0
57,16,0.9116,0.8631,0.1062,144.0,0.0331,0
46,16,0.8131,0.7501,0.1775,187.0,0.1561,0
109,16,0.889,0.8495,0.0608,155.0,0.017,0
95,16,0.904,0.8236,0.046,178.0,0.0358,0
181,16,0.8614,0.7403,0.0422,100.0,0.1377,2
105,16,0.872,0.7965,0.0435,174.0,0.0532,0
152,16,0.8596,0.654,0.0453,177.0,0.0601,1
143,16,0.835,0.7163,0.08,56.0,0.1373,1
88,15,0.907,0.7822,0.0446,122.0,0.0224,0
139,15,0.8885,0.8317,0.0484,92.0,0.1585,1
150,15,0.8335,0.7591,0.0848,92.0,0.1131,1
79,15,0.8219,0.7327,0.0743,125.0,0.0259,0
135,15,0.8377,0.7203,0.1447,130.0,0.1733,1
133,14,0.8235,0.6991,0.0868,171.0,0.0762,1
167,14,0.8999,0.8002,0.0541,131.0,0.0493,2
180,14,0.8834,0.7146,0.0311,158.0,0.0529,2
169,14,0.785,0.6784,0.0697,73.0,0.0936,2
170,14,0.7631,0.6159,0.0755,65.0,0.1532,2
129,14,0.9053,0.7903,0.0596,96.0,0.1042,1
9,14,0.8518,0.6975,0.1608,31.0,0.4324,0
94,14,0.882,0.8332,0.0666,93.0,0.015,0
45,14,0.7974,0.7146,0.1201,79.0,0.0265,0
67,13,0.8539,0.7765,0.1443,149.0,0.0671,0
154,13,0.8612,0.7803,0.0784,177.0,0.0422,1
137,13,0.8056,0.7426,0.1166,53.0,0.0188,1
168,13,0.8638,0.7322,0.0673,121.0,0.0311,2
190,13,0.7692,0.5898,0.1175,181.0,0.1011,4
118,13,0.8642,0.7897,0.0537,25.0,0.4176,1
70,12,0.8015,0.7463,0.1304,120.0,0.0123,0
103,12,0.8835,0.827,0.1485,105.0,0.0669,0
178,12,0.8978,0.727,0.046,95.0,0.1045,2
147,12,0.8268,0.6746,0.0751,62.0,0.0401,1
131,12,0.9172,0.7677,0.0313,97.0,0.048,1
77,12,0.8529,0.6987,0.0853,134.0,0.0053,0
123,12,0.8223,0.7171,0.1019,169.0,0.2565,1
31,12,0.8385,0.7631,0.1224,160.0,0.0373,0
120,12,0.812,0.6952,0.1304,70.0,0.3333,1
142,12,0.8454,0.6605,0.1234,108.0,0.1324,1
163,12,0.8406,0.7546,0.0686,126.0,0.1344,2
108,12,0.8807,0.7703,0.0546,174.0,0.0108,0
27,12,0.9342,0.9092,0.0831,144.0,0.111,0
8,11,0.8308,0.7242,0.1823,38.0,0.0181,0
20,11,0.8782,0.7644,0.1708,158.0,0.0963,0
51,11,0.866,0.7004,0.1491,52.0,0.0262,0
72,11,0.8312,0.7007,0.1702,71.0,0.0314,0
36,11,0.898,0.8637,0.0939,127.0,0.0535,0
134,11,0.846,0.804,0.0853,77.0,0.0101,1
93,11,0.8873,0.7941,0.0638,177.0,0.006,0
149,11,0.8175,0.7138,0.1158,64.0,0.0841,1
29,11,0.9283,0.8663,0.0587,115.0,0.0532,0
63,11,0.8846,0.7999,0.0763,186.0,0.049,0
61,11,0.8196,0.7549,0.1108,82.0,0.0496,0
55,11,0.8691,0.7454,0.1369,59.0,0.0315,0
157,11,0.8467,0.795,0.1119,173.0,0.0892,1
159,11,0.8629,0.718,0.1321,95.0,0.084,1
184,11,0.8238,0.7455,0.1154,76.0,0.1001,3
141,10,0.8994,0.8572,0.0905,48.0,0.083,1
38,10,0.858,0.7365,0.1125,127.0,0.0409,0
160,10,0.8641,0.6786,0.0502,35.0,0.1715,1
102,10,0.8598,0.7979,0.1026,82.0,0.008,0
100,10,0.9145,0.817,0.0359,158.0,0.0114,0
32,10,0.8135,0.7807,0.1833,33.0,0.0054,0
75,10,0.8775,0.7274,0.1152,74.0,0.0275,0
99,10,0.8655,0.7973,0.1254,173.0,0.0269,0
26,10,0.9191,0.8546,0.1021,27.0,0.0582,0
187,10,0.8318,0.7772,0.1167,59.0,0.0302,3
140,9,0.8507,0.7762,0.1383,141.0,0.0,1
10,9,0.8121,0.7656,0.3211,34.0,0.2389,0
22,9,0.8718,0.7172,0.1945,23.0,0.04,0
49,9,0.8903,0.8278,0.0842,66.0,0.0202,0
172,9,0.8469,0.8026,0.1497,98.0,0.0194,2
113,9,0.8011,0.652,0.1692,82.0,0.0676,1
162,9,0.861,0.6378,0.0779,173.0,0.0322,1
161,9,0.8778,0.8172,0.0691,98.0,0.017,1
19,9,0.8868,0.861,0.0978,53.0,0.0125,0
125,9,0.8116,0.5742,0.0743,79.0,0.0174,1
68,9,0.905,0.8591,0.0411,60.0,0.0012,0
53,9,0.907,0.8521,0.0813,59.0,0.0027,0
54,9,0.9255,0.8933,0.0613,165.0,0.0142,0
126,9,0.8739,0.7699,0.0686,163.0,0.0132,1
189,9,0.7904,0.6825,0.1519,140.0,0.0324,4
128,9,0.8299,0.715,0.1194,187.0,0.0187,1
