cluster_id,size,cohesion_mean,cohesion_min,separation,nearest_cluster,persistence,origem
1,372,0.8077,0.2629,0.3107,4.0,0.1388,0
0,351,0.7092,0.3798,0.2573,40.0,0.1474,0
28,347,0.7847,0.3794,0.1165,25.0,0.0298,0
22,177,0.8527,0.5746,0.1013,45.0,0.075,0
33,144,0.7729,0.569,0.1554,30.0,0.0455,0
43,115,0.7708,0.4812,0.0706,37.0,0.143,1
40,112,0.7388,0.5358,0.0883,34.0,0.2194,1
5,108,0.7827,0.5142,0.1466,10.0,0.1825,0
4,100,0.8147,0.5705,0.1872,43.0,0.1968,0
27,96,0.8157,0.4979,0.1182,26.0,0.0804,0
32,86,0.813,0.572,0.1197,40.0,0.1633,0
23,83,0.7822,0.5,0.2019,46.0,0.1551,0
10,82,0.8499,0.6654,0.1233,6.0,0.2214,0
-1,81,,,,,,-1
38,76,0.8696,0.7365,0.0922,43.0,0.0617,0
8,75,0.8249,0.5559,0.1634,42.0,0.2002,0
25,68,0.8044,0.578,0.1165,28.0,0.0871,0
7,63,0.827,0.6271,0.1739,46.0,0.2319,0
2,61,0.818,0.4449,0.2153,5.0,0.5357,0
17,60,0.7509,0.5277,0.1873,44.0,0.1033,0
26,60,0.8178,0.5753,0.1029,43.0,0.0762,0
44,46,0.762,0.4862,0.0837,20.0,0.2403,1
37,46,0.8546,0.7713,0.0706,43.0,0.0696,0
34,45,0.8456,0.6281,0.0883,40.0,0.064,0
29,42,0.8105,0.6641,0.114,30.0,0.0139,0
31,38,0.8339,0.6499,0.0949,40.0,0.0297,0
6,37,0.8748,0.6857,0.1233,10.0,0.1769,0
21,36,0.8843,0.7848,0.1085,44.0,0.1994,0
30,35,0.7793,0.6451,0.114,29.0,0.01,0
20,34,0.8357,0.6422,0.0837,44.0,0.1207,0
39,34,0.8887,0.7496,0.1128,38.0,0.0349,0
15,31,0.8782,0.7727,0.1081,13.0,0.2979,0
45,30,0.8103,0.5398,0.1013,22.0,0.1369,1
14,30,0.8685,0.7046,0.1273,15.0,0.1523,0
12,28,0.8095,0.6685,0.279,34.0,0.7806,0
3,28,0.7307,0.568,0.3796,41.0,0.357,0
36,26,0.8097,0.6619,0.1634,40.0,0.1771,0
16,26,0.8236,0.5627,0.2412,17.0,0.3851,0
46,25,0.8019,0.5971,0.1718,18.0,0.2526,1
13,23,0.8922,0.8052,0.1081,15.0,0.2768,0
24,23,0.9048,0.7821,0.162,22.0,0.3844,0
9,20,0.8704,0.7661,0.1369,45.0,0.1053,0
11,20,0.8055,0.7277,0.2995,10.0,0.0719,0
41,19,0.7888,0.6957,0.157,29.0,0.4718,1
19,18,0.8379,0.6869,0.1833,18.0,0.2761,0
18,17,0.8383,0.6952,0.1676,25.0,0.0458,0
35,15,0.8308,0.7066,0.1493,40.0,0.0142,0
42,15,0.857,0.7065,0.1634,8.0,0.0063,1
