cluster_id,size,cohesion_mean,cohesion_min,separation,nearest_cluster,persistence
-1,443,,,,,
1,372,0.8077,0.2629,0.3107,4.0,0.1388
0,351,0.7092,0.3798,0.3193,32.0,0.1474
28,347,0.7847,0.3794,0.1165,25.0,0.0298
22,177,0.8527,0.5746,0.162,24.0,0.075
33,144,0.7729,0.569,0.1554,30.0,0.0455
5,108,0.7827,0.5142,0.1466,10.0,0.1825
4,100,0.8147,0.5705,0.2203,26.0,0.1968
27,96,0.8157,0.4979,0.1182,26.0,0.0804
32,86,0.813,0.572,0.1435,34.0,0.1633
23,83,0.7822,0.5,0.2051,24.0,0.1551
10,82,0.8499,0.6654,0.1233,6.0,0.2214
38,76,0.8696,0.7365,0.1128,39.0,0.0617
8,75,0.8249,0.5559,0.1647,6.0,0.2002
25,68,0.8044,0.578,0.1165,28.0,0.0871
7,63,0.827,0.6271,0.1923,20.0,0.2319
2,61,0.818,0.4449,0.2153,5.0,0.5357
26,60,0.8178,0.5753,0.1182,27.0,0.0762
17,60,0.7509,0.5277,0.2395,26.0,0.1033
37,46,0.8546,0.7713,0.1787,38.0,0.0696
34,45,0.8456,0.6281,0.1435,32.0,0.064
29,42,0.8105,0.6641,0.114,30.0,0.0139
31,38,0.8339,0.6499,0.1545,28.0,0.0297
6,37,0.8748,0.6857,0.1233,10.0,0.1769
21,36,0.8843,0.7848,0.1491,20.0,0.1994
30,35,0.7793,0.6451,0.114,29.0,0.01
20,34,0.8357,0.6422,0.1491,21.0,0.1207
39,34,0.8887,0.7496,0.1128,38.0,0.0349
15,31,0.8782,0.7727,0.1081,13.0,0.2979
14,30,0.8685,0.7046,0.1273,15.0,0.1523
3,28,0.7307,0.568,0.3987,26.0,0.357
12,28,0.8095,0.6685,0.279,34.0,0.7806
16,26,0.8236,0.5627,0.2412,17.0,0.3851
36,26,0.8097,0.6619,0.2425,32.0,0.1771
13,23,0.8922,0.8052,0.1081,15.0,0.2768
24,23,0.9048,0.7821,0.162,22.0,0.3844
9,20,0.8704,0.7661,0.1632,15.0,0.1053
11,20,0.8055,0.7277,0.2995,10.0,0.0719
19,18,0.8379,0.6869,0.1833,18.0,0.2761
18,17,0.8383,0.6952,0.1676,25.0,0.0458
35,15,0.8308,0.7066,0.259,30.0,0.0142
